"","title","author","subject","abstract","date"
"17","Parameterized Complexity of Finding Dissimilar Shortest Paths","Ryo Funayama, Yasuaki Kobayashi, Takeaki Uno","Data Structures and Algorithms (cs.DS)","We consider the problem of finding dissimilar k shortest paths from s to t in an edgeweighted directed graph D, where the dissimilarity is measured by the minimum pairwise Hamming distances between these paths. More formally, given an edgeweighted directed graph D  V, A, two specified vertices s, t in V, and integers d, k, the goal of Dissimilar Shortest Paths is to decide whether D has k shortest paths P1, dots, Pk from s to t such that APi mathbintriangle APj ge d for distinct Pi and Pj. We design a deterministic algorithm to solve Dissimilar Shortest Paths with running time 2O3kdk2nO1, that is, Dissimilar Shortest Paths is fixedparameter tractable parameterized by k  d. To complement this positive result, we show that Dissimilar Shortest Paths is W1hard when parameterized by only k and paraNPhard parameterized by d.","Thu, 22 Feb 2024 08:40:03 UTC (687 KB)"
"18","Extention of Bagging MARS with Group LASSO for Heterogeneous Treatment Effect Estimation","Guanwenqing He, Ke Wan, Kazushi Maruo, Toshio Shimokawa","Methodology (stat.ME)","Recent years, large scale clinical data like patient surveys and medical record data are playing an increasing role in medical data science. These largescale clinical data, collectively referred to as realworld data RWD. It is expected to be widely used in largescale observational studies of specific diseases, personal medicine or precise medicine, finding the responder of drugs or treatments. Applying RWD for estimating heterogeneous treat ment effect HTE has already been a trending topic. HTE has the potential to considerably impact the development of precision medicine by helping doctors make more informed precise treatment decisions and provide more personalized medical care. The statistical models used to estimate HTE is called treatment effect models. Powers et al. proposed a some treatment effect models for observational study, where they pointed out that the bagging causal MARS BCM performs outstanding compared to other models. While BCM has excellent performance, it still has room for improvement. In this paper, we proposed a new treatment effect model called shrinkage causal bagging MARS method to improve their shared basis conditional mean regression framework based on the following points first, we estimated basis functions using transformed outcome, then applied the group LASSO method to optimize the model and estimate parameters. Besides, we are focusing on pursing better interpretability of model to improve the ethical acceptance. We designed simulations to verify the performance of our proposed method and our proposed method superior in mean square error and bias in most simulation settings. Also we applied it to real data set ACTG 175 to verify its usability, where our results are supported by previous studies.","Thu, 22 Feb 2024 04:47:22 UTC (2,962 KB)"
"19","Locality Bounds for Sampling Hamming Slices","Daniel M. Kane, Anthony Ostuni, Kewen Wu","Computational Complexity (cs.CC)","Spurred by the influential work of Viola Journal of Computing 2012, the past decade has witnessed an active line of research into the complexity of approximately sampling distributions, in contrast to the traditional focus on the complexity of computing functions. We build upon and make explicit earlier implicit results of Viola to provide superconstant lower bounds on the locality of Boolean functions approximately sampling the uniform distribution over binary strings of particular Hamming weights, both exactly and modulo an integer, answering questions of Viola Journal of Computing 2012 and Filmus, Leigh, Riazanov, and Sokolov RANDOM 2023. Applications to data structure lower bounds and quantumclassical separations are discussed.","Thu, 22 Feb 2024 04:36:49 UTC (416 KB)"
"20","Sample-Efficient Linear Regression with Self-Selection Bias","Jason Gaitonde, Elchanan Mossel","Statistics Theory (math.ST)","We consider the problem of linear regression with selfselection bias in the unknownindex setting, as introduced in recent work by Cherapanamjeri, Daskalakis, Ilyas, and Zampetakis STOC 2023. In this model, one observes m i.i.d. samples mathbfxell,zellell1m where zellmaxiin kmathbfxellTmathbfwietai,ell, but the maximizing index iell is unobserved. Here, the mathbfxell are assumed to be mathcalN0,In and the noise distribution mathbfetaellsim mathcalD is centered and independent of mathbfxell. We provide a novel and near optimally sampleefficient in terms of k algorithm to recover mathbfw1,ldots,mathbfwkin mathbbRn up to additive ell2error varepsilon with polynomial sample complexity tildeOncdot mathsfpolyk,1varepsilon and significantly improved time complexity mathsfpolyn,k,1varepsilonOlogkvarepsilonOk. When kO1, our algorithm runs in mathsfpolyn,1varepsilon time, generalizing the polynomial guarantee of an explicit moment matching algorithm of Cherapanamjeri, et al. for k2 and when it is known that mathcalDmathcalN0,Ik. Our algorithm succeeds under significantly relaxed noise assumptions, and therefore also succeeds in the related setting of maxlinear regression where the added noise is taken outside the maximum. For this problem, our algorithm is efficient in a much larger range of k than the stateoftheart due to Ghosh, Pananjady, Guntuboyina, and Ramchandran IEEE Trans. Inf. Theory 2022 for not too small varepsilon, and leads to improved algorithms for any varepsilon by providing a warm start for existing local convergence methods.","Thu, 22 Feb 2024 02:20:24 UTC (46 KB)"
"21","Random-Order Online Interval Scheduling and Geometric Generalizations","Mohit Garg, Debajyoti Kar, Arindam Khan","Data Structures and Algorithms (cs.DS)","In the Maximum Independent Set of Hyperrectangles problem, we are given a set of n possibly overlapping ddimensional axisaligned hyperrectangles, and the goal is to find a subset of nonoverlapping hyperrectangles of maximum cardinality. For d1, this corresponds to the classical Interval Scheduling problem, where a simple greedy algorithm returns an optimal solution. In the offline setting, for ddimensional hyperrectangles, polynomial time log nOdapproximation algorithms are known. However, the problem becomes notably challenging in the online setting, where the input objects hyperrectangles appear one by one in an adversarial order, and on the arrival of an object, the algorithm needs to make an immediate and irrevocable decision whether or not to select the object while maintaining the feasibility. Even for interval scheduling, an Omegan lower bound is known on the competitive ratio. To circumvent these negative results, in this work, we study the online maximum independent set of axisaligned hyperrectangles in the randomorder arrival model, where the adversary specifies the set of input objects which then arrive in a uniformly random order. Starting from the prototypical secretary problem, the randomorder model has received significant attention to study algorithms beyond the worstcase competitive analysis. Surprisingly, we show that the problem in the randomorder model almost matches the bestknown offline approximation guarantees, up to polylogarithmic factors. In particular, we give a simple log nOdcompetitive algorithm for ddimensional hyperrectangles in this model, which runs in tildeOdn time. Our approach also yields log nOdcompetitive algorithms in the randomorder model for more general objects such as ddimensional fat objects and ellipsoids.","Thu, 22 Feb 2024 01:04:18 UTC (47 KB)"
"22","Masked Matrix Multiplication for Emergent Sparsity","Brian Wheatman, Meghana Madhyastha, Randal Burns","Data Structures and Algorithms (cs.DS)","Artificial intelligence workloads, especially transformer models, exhibit emergent sparsity in which computations perform selective sparse access to dense data. The workloads are inefficient on hardware designed for dense computations and do not map well onto sparse data representations. We build a vectorized and parallel matrixmultiplication system A X B  C that eliminates unnecessary computations and avoids branches based on a runtime evaluation of sparsity. We use a combination of dynamic code lookup to adapt to the specific sparsity encoded in the B matrix and preprocessing of sparsity maps of the A and B matrices to compute conditional branches once for the whole computation. For a wide range of sparsity, from 60 to 95 zeros, our implementation performs fewer instructions and increases performance when compared with Intel MKLs dense or sparse matrix multiply routines. Benefits can be as large as 2 times speedup and 4 times fewer instructions.","Wed, 21 Feb 2024 20:36:08 UTC (823 KB)"
"23","Probability Tools for Sequential Random Projection","Yingru Li","Statistics Theory (math.ST)","We introduce the first probabilistic framework tailored for sequential random projection, an approach rooted in the challenges of sequential decisionmaking under uncertainty. The analysis is complicated by the sequential dependence and highdimensional nature of random variables, a byproduct of the adaptive mechanisms inherent in sequential decision processes. Our work features a novel construction of a stopped process, facilitating the analysis of a sequence of concentration events that are interconnected in a sequential manner. By employing the method of mixtures within a selfnormalized process, derived from the stopped process, we achieve a desired nonasymptotic probability bound. This bound represents a nontrivial martingale extension of the JohnsonLindenstrauss JL lemma, marking a pioneering contribution to the literature on random projection and sequential analysis.","Fri, 16 Feb 2024 13:17:13 UTC (21 KB)"
"24","Misalignment, Learning, and Ranking: Harnessing Users Limited Attention","Arpit Agarwal, Rad Niazadeh, Prathamesh Patil","Machine Learning (cs.LG)","In digital health and EdTech, recommendation systems face a significant challenge users often choose impulsively, in ways that conflict with the platforms longterm payoffs. This misalignment makes it difficult to effectively learn to rank items, as it may hinder exploration of items with greater longterm payoffs. Our paper tackles this issue by utilizing users limited attention spans. We propose a model where a platform presents items with unknown payoffs to the platform in a ranked list to T users over time. Each user selects an item by first considering a prefix window of these ranked items and then picking the highest preferred item in that window and the platform observes its payoff for this item. We study the design of online bandit algorithms that obtain vanishing regret against hindsight optimal benchmarks. We first consider adversarial window sizes and stochastic iid payoffs. We design an activeeliminationbased algorithm that achieves an optimal instancedependent regret bound of OlogT, by showing matching regret upper and lower bounds. The key idea is using the combinatorial structure of the problem to either obtain a large payoff from each item or to explore by getting a sample from that item. This method systematically narrows down the item choices to enhance learning efficiency and payoff. Second, we consider adversarial payoffs and stochastic iid window sizes. We start from the fullinformation problem of finding the permutation that maximizes the expected payoff. By a novel combinatorial argument, we characterize the polytope of admissible item selection probabilities by a permutation and show it has a polynomialsize representation. Using this representation, we show how standard algorithms for adversarial online linear optimization in the space of admissible probabilities can be used to obtain a polynomialtime algorithm with OsqrtT regret.","Wed, 21 Feb 2024 18:52:20 UTC (45 KB)"
"25","Chasing Convex Functions with Long-term Constraints","Adam Lechowicz, Nicolas Christianson, Bo Sun, Noman Bashir, Mohammad Hajiesmaili, Adam Wierman, Prashant Shenoy","Data Structures and Algorithms (cs.DS)","We introduce and study a family of online metric problems with longterm constraints. In these problems, an online player makes decisions mathbfxt in a metric space X,d to simultaneously minimize their hitting cost ftmathbfxt and switching cost as determined by the metric. Over the time horizon T, the player must satisfy a longterm demand constraint sumt cmathbfxt geq 1, where cmathbfxt denotes the fraction of demand satisfied at time t. Such problems can find a wide array of applications to online resource allocation in sustainable energy and computing systems. We devise optimal competitive and learningaugmented algorithms for specific instantiations of these problems, and further show that our proposed algorithms perform well in numerical experiments.","Wed, 21 Feb 2024 18:51:42 UTC (220 KB)"
"26","On Distributed Computation of the Minimum Triangle Edge Transversal","Keren Censor-Hillel, Majd Khoury","Distributed, Parallel, and Cluster Computing (cs.DC)","The distance of a graph from being trianglefree is a fundamental graph parameter, counting the number of edges that need to be removed from a graph in order for it to become trianglefree. Its corresponding computational problem is the classic minimum triangle edge transversal problem, and its normalized value is the baseline for trianglefreeness testing algorithms. While trianglefreeness testing has been successfully studied in the distributed setting, computing the distance itself in a distributed setting is unknown, to the best of our knowledge, despite being wellstudied in the centralized setting. This work addresses the computation of the minimum triangle edge transversal in distributed networks. We show with a simple warmup construction that this is a global task, requiring OmegaD rounds even in the mathsfLOCAL model with unbounded messages, where D is the diameter of the network. However, we show that approximating this value can be done much faster. A 1epsilonapproximation can be obtained in textpolylogn rounds, where n is the size of the network graph. Moreover, faster approximations can be obtained, at the cost of increasing the approximation factor to roughly 3, by a reduction to the minimum hypergraph vertex cover problem. With a time overhead of the maximum degree Delta, this can also be applied to the mathsfCONGEST model, in which messages are bounded. Our key technical contribution is proving that computing an exact solution is as hard as it gets in mathsfCONGEST, requiring a nearquadratic number of rounds. Because this problem is an edge selection problem, as opposed to previous lower bounds that were for node selection problems, major challenges arise in constructing the lower bound, requiring us to develop novel ingredients.","Wed, 21 Feb 2024 18:14:24 UTC (1,145 KB)"
"27","A $(5/3+ε)$-Approximation for Tricolored Non-crossing Euclidean TSP","Júlia Baligács, Yann Disser, Andreas Emil Feldmann, Anna Zych-Pawlewicz","Data Structures and Algorithms (cs.DS)","In the Tricolored Euclidean Traveling Salesperson problem, we are givenk3 sets of points in the plane and are looking for disjoint tours, each covering one of the sets. Arora 1998 famously gave a PTAS based on patching for the case k1 and, recently, Dross et al.2023 generalized this result tok2. Our contribution is a 53epsilonapproximation algorithm fork3 that further generalizes Aroras approach. It is believed that patching is generally no longer possible for more than two tours. We circumvent this issue by either applying a conditional patching scheme for three tours or using an alternative approach based on a weighted solution for k2.","Wed, 21 Feb 2024 17:07:04 UTC (129 KB)"
"28","Robust recovery for stochastic block models, simplified and generalized","Sidhanth Mohanty, Prasad Raghavendra, David X. Wu","Data Structures and Algorithms (cs.DS)","We study the problem of textitrobust community recovery efficiently recovering communities in sparse stochastic block models in the presence of adversarial corruptions. In the absence of adversarial corruptions, there are efficient algorithms when the textitsignaltonoise ratio exceeds the textitKestenStigum KS threshold, widely believed to be the computational threshold for this problem. The question we study is does the computational threshold for robust community recovery also lie at the KS threshold? We answer this question affirmatively, providing an algorithm for robust community recovery for arbitrary stochastic block models on any constant number of communities, generalizing the work of Ding, dOrsi, Nasser  Steurer on an efficient algorithm above the KS threshold in the case of 2community block models. There are three main ingredients to our work i The Bethe Hessian of the graph is defined as HGt triangleq DGIt2  AGt  I where DG is the diagonal matrix of degrees and AG is the adjacency matrix. Empirical work suggested that the Bethe Hessian for the stochastic block model has outlier eigenvectors corresponding to the communities right above the KestenStigum threshold. We formally confirm the existence of outlier eigenvalues for the Bethe Hessian, by explicitly constructing outlier eigenvectors from the community vectors. ii We develop an algorithm for a variant of robust PCA on sparse matrices. Specifically, an algorithm to partially recover top eigenspaces from adversarially corrupted sparse matrices under mild delocalization constraints. iii A rounding algorithm to turn vector assignments of vertices into a community assignment, inspired by the algorithm of Charikar  Wirth citeCW04 for 2XOR.","Wed, 21 Feb 2024 16:40:13 UTC (42 KB)"
"29","Practical algorithms for Hierarchical overlap graphs","Saumya Talera, Parth Bansal, Shabnam Khan, Shahbaz Khan","Data Structures and Algorithms (cs.DS)","Genome assembly is a prominent problem studied in bioinformatics, which computes the source string using a set of its overlapping substrings. Classically, genome assembly uses assembly graphs built using this set of substrings to compute the source string efficiently, having a tradeoff between scalability and avoiding information loss. The scalable de Bruijn graphs come at the price of losing crucial overlap information. The complete overlap information is stored in overlap graphs using quadratic space. Hierarchical overlap graphs IPL20 HOG overcome these limitations, avoiding information loss despite using linear space. After a series of suboptimal improvements, Khan and Park et al. simultaneously presented two optimal algorithms CPM2021, where only the former was seemingly practical. We empirically analyze all the practical algorithms for computing HOG, where the optimal algorithm CPM2021 outperforms the previous algorithms as expected, though at the expense of extra memory. However, it uses nonintuitive approach and nontrivial data structures. We present arguably the most intuitive algorithm, using only elementary arrays, which is also optimal. Our algorithm empirically proves even better for both time and memory over all the algorithms, highlighting its significance in both theory and practice. We further explore the applications of hierarchical overlap graphs to solve various forms of suffixprefix queries on a set of strings. Loukides et al. CPM2023 recently presented stateoftheart algorithms for these queries. However, these algorithms require complex blackbox data structures and are seemingly impractical. Our algorithms, despite failing to match the stateoftheart algorithms theoretically, answer different queries ranging from 0.01100 milliseconds for a data set having around a billion characters.","Wed, 21 Feb 2024 16:39:28 UTC (228 KB)"
